page_title,edits,rank,time
2013_NCAA_Division_I_Men's_Basketball_Tournament,629,81,2013-03-01T00:00:00.000Z
Project:Articles_for_creation/recent,615,82,2013-03-01T00:00:00.000Z
2014_AFC_Challenge_Cup_qualification,587,83,2013-03-01T00:00:00.000Z
2013_Sony_Open_Tennis_–_Men's_Singles,586,84,2013-03-01T00:00:00.000Z
User:Ipigott/Sandbox,583,85,2013-03-01T00:00:00.000Z
2013_World_Baseball_Classic,562,86,2013-03-01T00:00:00.000Z
2013_Sony_Open_Tennis_–_Women's_Singles,558,87,2013-03-01T00:00:00.000Z
Korean_wave,549,88,2013-03-01T00:00:00.000Z
Project:Neutral_point_of_view/Noticeboard,537,89,2013-03-01T00:00:00.000Z
User:ClueBot_II/dino,537,90,2013-03-01T00:00:00.000Z
2013_BNP_Paribas_Open_–_Women's_Singles,526,91,2013-03-01T00:00:00.000Z
Talk:BP,525,92,2013-03-01T00:00:00.000Z
Talk:Main_Page,525,93,2013-03-01T00:00:00.000Z
Project:Arbitration/Requests/Case,516,94,2013-03-01T00:00:00.000Z
Talk:Second_Amendment_to_the_United_States_Constitution,516,95,2013-03-01T00:00:00.000Z
Project:Dashboard/Administrative_noticeboards,514,96,2013-03-01T00:00:00.000Z
Eurovision_Song_Contest_2013,511,97,2013-03-01T00:00:00.000Z
Talk:Alternative_medicine,505,98,2013-03-01T00:00:00.000Z
2013_BNP_Paribas_Open_–_Men's_Singles,501,99,2013-03-01T00:00:00.000Z
SimCity_(2013_video_game),487,100,2013-03-01T00:00:00.000Z
User:Cyde/List_of_candidates_for_speedy_deletion/Subpage,7706,1,2013-04-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism,6744,2,2013-04-01T00:00:00.000Z
Project:Administrators'_noticeboard/Incidents,5944,3,2013-04-01T00:00:00.000Z
Boston_Marathon_bombing,5419,4,2013-04-01T00:00:00.000Z
Talk:Boston_Marathon_bombing,4311,5,2013-04-01T00:00:00.000Z
User:AmandaNP/UAA/Time,4307,6,2013-04-01T00:00:00.000Z
Project:Sandbox,3466,7,2013-04-01T00:00:00.000Z
Project:Help_desk,2815,8,2013-04-01T00:00:00.000Z
User:AmandaNP/UAA/Wait,2691,9,2013-04-01T00:00:00.000Z
Project:Requests_for_page_protection,2680,10,2013-04-01T00:00:00.000Z
Project:Reference_desk/Science,2604,11,2013-04-01T00:00:00.000Z
Project:In_the_news/Candidates,2502,12,2013-04-01T00:00:00.000Z
Project:Usernames_for_administrator_attention/Bot,2354,13,2013-04-01T00:00:00.000Z
Project:Usernames_for_administrator_attention,2169,14,2013-04-01T00:00:00.000Z
Project:Reference_desk/Humanities,2119,15,2013-04-01T00:00:00.000Z
Deaths_in_2013,2069,16,2013-04-01T00:00:00.000Z
Project:Administrators'_noticeboard,1948,17,2013-04-01T00:00:00.000Z
Dzhokhar_and_Tamerlan_Tsarnaev,1756,18,2013-04-01T00:00:00.000Z
Project:Reference_desk/Miscellaneous,1636,19,2013-04-01T00:00:00.000Z
,1580,20,2013-04-01T00:00:00.000Z
User talk:Jimbo_Wales,1569,21,2013-04-01T00:00:00.000Z
Project:Teahouse,1514,22,2013-04-01T00:00:00.000Z
Project:Sockpuppet_investigations/Cases/Overview,1416,23,2013-04-01T00:00:00.000Z
Project:Village_pump_(technical),1400,24,2013-04-01T00:00:00.000Z
Project:Open_proxy_detection,1399,25,2013-04-01T00:00:00.000Z
Project:Articles_for_creation/Redirects_and_categories,1320,26,2013-04-01T00:00:00.000Z
Dancing_with_the_Stars_(American_season_16),1273,27,2013-04-01T00:00:00.000Z
User:Paul_August/Selene,1261,28,2013-04-01T00:00:00.000Z
Project:Biographies_of_living_persons/Noticeboard,1260,29,2013-04-01T00:00:00.000Z
User:Cyde/List_of_current_proposed_deletions,1248,30,2013-04-01T00:00:00.000Z
Project:Reference_desk/Language,1244,31,2013-04-01T00:00:00.000Z
Template:DRN_case_status,1235,32,2013-04-01T00:00:00.000Z
The_Voice_(American_season_4),1229,33,2013-04-01T00:00:00.000Z
Project:Reference_desk/Computing,1222,34,2013-04-01T00:00:00.000Z
Project:Categories_for_discussion/Speedy,1187,35,2013-04-01T00:00:00.000Z
Project:Good_article_nominations,1123,36,2013-04-01T00:00:00.000Z
User:Cyberpower678/RfX_Report,1112,37,2013-04-01T00:00:00.000Z
American_Idol_(season_12),1098,38,2013-04-01T00:00:00.000Z
User talk:Banana04131/Archive3,1088,39,2013-04-01T00:00:00.000Z
Project:Administrators'_noticeboard/Edit_warring,1073,40,2013-04-01T00:00:00.000Z
Talk:BP,1065,41,2013-04-01T00:00:00.000Z
User talk:Drmies,1038,42,2013-04-01T00:00:00.000Z
User:Tentinator/CSD_log,1031,43,2013-04-01T00:00:00.000Z
Project:Reliable_sources/Noticeboard,1024,44,2013-04-01T00:00:00.000Z
User:AnomieBOT/SPERTable,962,45,2013-04-01T00:00:00.000Z
User talk:Yintan,953,46,2013-04-01T00:00:00.000Z
User:Snotbot/Requests_for_unblock_report,953,47,2013-04-01T00:00:00.000Z
User:Legobot/Wikidata/General,922,48,2013-04-01T00:00:00.000Z
2013_Indian_Premier_League,913,49,2013-04-01T00:00:00.000Z
Project:Requested_moves/Current_discussions,913,50,2013-04-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism/TB2,910,51,2013-04-01T00:00:00.000Z
Project:Tutorial_(historical)/Editing/sandbox,905,52,2013-04-01T00:00:00.000Z
Project:Articles_for_creation/recent,892,53,2013-04-01T00:00:00.000Z
Talk:Tea_Party_movement,861,54,2013-04-01T00:00:00.000Z
Project:Requested_moves/Current_discussions_(alt),857,55,2013-04-01T00:00:00.000Z
Project talk:WikiProject_Articles_for_creation,825,56,2013-04-01T00:00:00.000Z
Template:Vandalism_information,825,57,2013-04-01T00:00:00.000Z
User:Tigerboy1966/sandbox9,822,58,2013-04-01T00:00:00.000Z
Template talk:Did_you_know,806,59,2013-04-01T00:00:00.000Z
User:Cyde/List_of_requests_for_unblock,800,60,2013-04-01T00:00:00.000Z
Project:Dashboard/Requested_moves,792,61,2013-04-01T00:00:00.000Z
Roger_Ebert,790,62,2013-04-01T00:00:00.000Z
Project:Did_you_know/DYK_hook_count,786,63,2013-04-01T00:00:00.000Z
Big_Brother_Canada_(season_1),781,64,2013-04-01T00:00:00.000Z
Gentleman_(Psy_song),781,65,2013-04-01T00:00:00.000Z
Project:WikiProject_National_Register_of_Historic_Places/Progress,769,66,2013-04-01T00:00:00.000Z
Margaret_Thatcher,768,67,2013-04-01T00:00:00.000Z
User talk:ImageTaggingBot/log,764,68,2013-04-01T00:00:00.000Z
User:TedderBot/CurrentPruneBot/census,758,69,2013-04-01T00:00:00.000Z
Project:Changing_username/Simple,750,70,2013-04-01T00:00:00.000Z
User talk:Eric_Corbett,746,71,2013-04-01T00:00:00.000Z
Project:Dispute_resolution_noticeboard,716,72,2013-04-01T00:00:00.000Z
Project:Requests_for_comment/April_Fools',700,73,2013-04-01T00:00:00.000Z
Talk:Main_Page,699,74,2013-04-01T00:00:00.000Z
List_of_people_who_have_benefited_from_United_States_immigration_laws,695,75,2013-04-01T00:00:00.000Z
Project:Reference_desk/Entertainment,692,76,2013-04-01T00:00:00.000Z
Template:NUMBEROF/data,690,77,2013-04-01T00:00:00.000Z
User:Avicennasis/reports/uaa/report/by5min,682,78,2013-04-01T00:00:00.000Z
Death_and_funeral_of_Margaret_Thatcher,679,79,2013-04-01T00:00:00.000Z
Project:Arbitration/Requests/Enforcement,669,80,2013-04-01T00:00:00.000Z
Project:Toolserver/status,662,81,2013-04-01T00:00:00.000Z
Project talk:Protected_Page_Editor,659,82,2013-04-01T00:00:00.000Z
2013_in_UFC,654,83,2013-04-01T00:00:00.000Z
Fuyang_District,654,84,2013-04-01T00:00:00.000Z
Montana,621,85,2013-04-01T00:00:00.000Z
2013_NBA_playoffs,608,86,2013-04-01T00:00:00.000Z
The_Mrs._Carter_Show_World_Tour,608,87,2013-04-01T00:00:00.000Z
2013_Korean_crisis,607,88,2013-04-01T00:00:00.000Z
Project talk:Criteria_for_speedy_deletion,607,89,2013-04-01T00:00:00.000Z
Talk:United_States,595,90,2013-04-01T00:00:00.000Z
BP,590,91,2013-04-01T00:00:00.000Z
George_Harrison,583,92,2013-04-01T00:00:00.000Z
Project:Village_pump_(proposals),581,93,2013-04-01T00:00:00.000Z
Talk:Margaret_Thatcher,581,94,2013-04-01T00:00:00.000Z
Talk:Syrian_civil_war,578,95,2013-04-01T00:00:00.000Z
Project:Village_pump_(policy),576,96,2013-04-01T00:00:00.000Z
Module talk:Citation/CS1,575,97,2013-04-01T00:00:00.000Z
User:JaGa/Short_leaderboard,565,98,2013-04-01T00:00:00.000Z
West_Fertilizer_Company_explosion,563,99,2013-04-01T00:00:00.000Z
Inheritance,561,100,2013-04-01T00:00:00.000Z
User:Cyde/List_of_candidates_for_speedy_deletion/Subpage,7603,1,2013-05-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism,7256,2,2013-05-01T00:00:00.000Z
Project:Administrators'_noticeboard/Incidents,5935,3,2013-05-01T00:00:00.000Z
User:VWBot/Trial,5119,4,2013-05-01T00:00:00.000Z
User:AmandaNP/UAA/Time,4458,5,2013-05-01T00:00:00.000Z
Project:Sandbox,3520,6,2013-05-01T00:00:00.000Z
Project:Help_desk,3088,7,2013-05-01T00:00:00.000Z
User:AmandaNP/UAA/Wait,2943,8,2013-05-01T00:00:00.000Z
Project:Requests_for_page_protection,2827,9,2013-05-01T00:00:00.000Z
Project:In_the_news/Candidates,2816,10,2013-05-01T00:00:00.000Z
Project:Reference_desk/Science,2657,11,2013-05-01T00:00:00.000Z
Project:Usernames_for_administrator_attention/Bot,2419,12,2013-05-01T00:00:00.000Z
User:Cyberpower678/RfX_Report,2277,13,2013-05-01T00:00:00.000Z
Project:Usernames_for_administrator_attention,2239,14,2013-05-01T00:00:00.000Z
Project:Reference_desk/Humanities,2094,15,2013-05-01T00:00:00.000Z
User:Jamesyons/sandbox,2049,16,2013-05-01T00:00:00.000Z
Deaths_in_2013,1883,17,2013-05-01T00:00:00.000Z
Help talk:Notifications,1790,18,2013-05-01T00:00:00.000Z
Project:Teahouse,1759,19,2013-05-01T00:00:00.000Z
Project:Village_pump_(technical),1687,20,2013-05-01T00:00:00.000Z
Project:Sockpuppet_investigations/Cases/Overview,1660,21,2013-05-01T00:00:00.000Z
User talk:Jimbo_Wales,1633,22,2013-05-01T00:00:00.000Z
Project:Administrators'_noticeboard,1613,23,2013-05-01T00:00:00.000Z
Project:Open_proxy_detection,1608,24,2013-05-01T00:00:00.000Z
Murder_of_Lee_Rigby,1513,25,2013-05-01T00:00:00.000Z
Dancing_with_the_Stars_(American_season_16),1455,26,2013-05-01T00:00:00.000Z
User talk:Drmies,1227,27,2013-05-01T00:00:00.000Z
Project:Reference_desk/Miscellaneous,1206,28,2013-05-01T00:00:00.000Z
Template:DRN_case_status,1206,29,2013-05-01T00:00:00.000Z
Project:Administrators'_noticeboard/Edit_warring,1193,30,2013-05-01T00:00:00.000Z
Project:Reference_desk/Language,1171,31,2013-05-01T00:00:00.000Z
User:Tentinator/CSD_log,1170,32,2013-05-01T00:00:00.000Z
User:Cyde/List_of_current_proposed_deletions,1167,33,2013-05-01T00:00:00.000Z
Talk:Ariel_Castro_kidnappings,1144,34,2013-05-01T00:00:00.000Z
Project:Articles_for_creation/Redirects_and_categories,1139,35,2013-05-01T00:00:00.000Z
Project:Good_article_nominations,1114,36,2013-05-01T00:00:00.000Z
2013_Indian_Premier_League,1096,37,2013-05-01T00:00:00.000Z
Talk:Narendra_Modi,1086,38,2013-05-01T00:00:00.000Z
Project:Biographies_of_living_persons/Noticeboard,1078,39,2013-05-01T00:00:00.000Z
Ariel_Castro_kidnappings,1070,40,2013-05-01T00:00:00.000Z
American_Idol_(season_12),1044,41,2013-05-01T00:00:00.000Z
2013_IIHF_World_Championship,1017,42,2013-05-01T00:00:00.000Z
2013_Stanley_Cup_playoffs,1013,43,2013-05-01T00:00:00.000Z
Project:Changing_username/Simple,1011,44,2013-05-01T00:00:00.000Z
Project:Articles_for_creation/recent,1010,45,2013-05-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism/TB2,991,46,2013-05-01T00:00:00.000Z
User:Snotbot/Requests_for_unblock_report,976,47,2013-05-01T00:00:00.000Z
User:AnomieBOT/SPERTable,970,48,2013-05-01T00:00:00.000Z
Talk:Syrian_civil_war,966,49,2013-05-01T00:00:00.000Z
User talk:Dennis_Brown,966,50,2013-05-01T00:00:00.000Z
Star_Trek_Into_Darkness,944,51,2013-05-01T00:00:00.000Z
Project:Requested_moves/Current_discussions,937,52,2013-05-01T00:00:00.000Z
Project:Dispute_resolution_noticeboard,923,53,2013-05-01T00:00:00.000Z
The_Voice_(American_season_4),923,54,2013-05-01T00:00:00.000Z
User talk:ImageTaggingBot/log,909,55,2013-05-01T00:00:00.000Z
2013_Moore_tornado,905,56,2013-05-01T00:00:00.000Z
Project:Requested_moves/Current_discussions_(alt),894,57,2013-05-01T00:00:00.000Z
User:Cyde/List_of_requests_for_unblock,894,58,2013-05-01T00:00:00.000Z
Project:Reference_desk/Computing,883,59,2013-05-01T00:00:00.000Z
Template:Vandalism_information,883,60,2013-05-01T00:00:00.000Z
Project:Village_pump_(proposals),876,61,2013-05-01T00:00:00.000Z
User:Robert4565/sandbox,874,62,2013-05-01T00:00:00.000Z
User:Avicennasis/reports/uaa/report/by5min,851,63,2013-05-01T00:00:00.000Z
User:Cyberpower678/Tally,838,64,2013-05-01T00:00:00.000Z
Project:Dashboard/Requested_moves,833,65,2013-05-01T00:00:00.000Z
Talk:United_States,833,66,2013-05-01T00:00:00.000Z
Project:Categories_for_discussion/Speedy,823,67,2013-05-01T00:00:00.000Z
,817,68,2013-05-01T00:00:00.000Z
Project:Village_pump_(policy),796,69,2013-05-01T00:00:00.000Z
Project:Requests_for_comment/Jerusalem,763,70,2013-05-01T00:00:00.000Z
Australian_gold_rushes,751,71,2013-05-01T00:00:00.000Z
Template talk:Did_you_know,751,72,2013-05-01T00:00:00.000Z
Project talk:Did_you_know,730,73,2013-05-01T00:00:00.000Z
Project:Tutorial_(historical)/Editing/sandbox,726,74,2013-05-01T00:00:00.000Z
Project:Toolserver/status,720,75,2013-05-01T00:00:00.000Z
Project:Reliable_sources/Noticeboard,707,76,2013-05-01T00:00:00.000Z
Template:NUMBEROF/data,705,77,2013-05-01T00:00:00.000Z
2013_French_Open,701,78,2013-05-01T00:00:00.000Z
American_Dad!,699,79,2013-05-01T00:00:00.000Z
Project:Reference_desk/Entertainment,679,80,2013-05-01T00:00:00.000Z
Britain's_Got_Talent_(series_7),674,81,2013-05-01T00:00:00.000Z
User talk:Eric_Corbett,672,82,2013-05-01T00:00:00.000Z
Talk:Murder_of_Lee_Rigby,662,83,2013-05-01T00:00:00.000Z
Project talk:WikiProject_Military_history,660,84,2013-05-01T00:00:00.000Z
Project talk:Vital_articles/Level/4,653,85,2013-05-01T00:00:00.000Z
User:Joe_Decker/CSD_log,649,86,2013-05-01T00:00:00.000Z
2013_French_Open_–_Men's_Singles,648,87,2013-05-01T00:00:00.000Z
Xbox_One,647,88,2013-05-01T00:00:00.000Z
Project:Arbitration/Requests/Enforcement,644,89,2013-05-01T00:00:00.000Z
Talk:BP,643,90,2013-05-01T00:00:00.000Z
2013–14_Premier_League,637,91,2013-05-01T00:00:00.000Z
List_of_cheeses,631,92,2013-05-01T00:00:00.000Z
Project:Reference_desk/Mathematics,630,93,2013-05-01T00:00:00.000Z
Grace_Jones,628,94,2013-05-01T00:00:00.000Z
"Tornado_outbreak_of_May_18–21,_2013",628,95,2013-05-01T00:00:00.000Z
Project:WikiProject_Articles_for_creation/Help_desk,621,96,2013-05-01T00:00:00.000Z
Project talk:WikiProject_Articles_for_creation,617,97,2013-05-01T00:00:00.000Z
Eurovision_Song_Contest_2013,615,98,2013-05-01T00:00:00.000Z
Random_Access_Memories,614,99,2013-05-01T00:00:00.000Z
2013_Pakistani_general_election,606,100,2013-05-01T00:00:00.000Z
User:Cyde/List_of_candidates_for_speedy_deletion/Subpage,6033,1,2013-06-01T00:00:00.000Z
Project:Administrators'_noticeboard/Incidents,6025,2,2013-06-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism,5570,3,2013-06-01T00:00:00.000Z
User:AmandaNP/UAA/Time,4205,4,2013-06-01T00:00:00.000Z
Project:Sandbox,3423,5,2013-06-01T00:00:00.000Z
Project:Help_desk,2831,6,2013-06-01T00:00:00.000Z
Project:Requests_for_page_protection,2762,7,2013-06-01T00:00:00.000Z
User:AmandaNP/UAA/Wait,2751,8,2013-06-01T00:00:00.000Z
Gezi_Park_protests,2696,9,2013-06-01T00:00:00.000Z
Project:In_the_news/Candidates,2380,10,2013-06-01T00:00:00.000Z
Project:Usernames_for_administrator_attention,2230,11,2013-06-01T00:00:00.000Z
Project:Usernames_for_administrator_attention/Bot,2144,12,2013-06-01T00:00:00.000Z
Project:WikiProject_Spam/LinkReports,2120,13,2013-06-01T00:00:00.000Z
Edward_Snowden,2086,14,2013-06-01T00:00:00.000Z
Project:Reference_desk/Science,2057,15,2013-06-01T00:00:00.000Z
Deaths_in_2013,1941,16,2013-06-01T00:00:00.000Z
Project:Reference_desk/Humanities,1838,17,2013-06-01T00:00:00.000Z
Project:VisualEditor/Feedback,1838,18,2013-06-01T00:00:00.000Z
Project:Teahouse,1723,19,2013-06-01T00:00:00.000Z
Project:Administrators'_noticeboard,1709,20,2013-06-01T00:00:00.000Z
User:Jamesyons/sandbox,1628,21,2013-06-01T00:00:00.000Z
User:Soerfm/sandbox,1523,22,2013-06-01T00:00:00.000Z
Project:Village_pump_(technical),1452,23,2013-06-01T00:00:00.000Z
Template:DRN_case_status,1409,24,2013-06-01T00:00:00.000Z
User talk:Jimbo_Wales,1407,25,2013-06-01T00:00:00.000Z
Project:Good_article_nominations,1405,26,2013-06-01T00:00:00.000Z
Project:Sockpuppet_investigations/Cases/Overview,1383,27,2013-06-01T00:00:00.000Z
Project:Reference_desk/Language,1255,28,2013-06-01T00:00:00.000Z
Project:Open_proxy_detection,1217,29,2013-06-01T00:00:00.000Z
Project talk:Vital_articles/Level/4,1207,30,2013-06-01T00:00:00.000Z
PRISM_(surveillance_program),1184,31,2013-06-01T00:00:00.000Z
Project:Changing_username/Simple,1152,32,2013-06-01T00:00:00.000Z
Talk:Edward_Snowden,1146,33,2013-06-01T00:00:00.000Z
User:Cyberpower678/RfX_Report,1136,34,2013-06-01T00:00:00.000Z
Project:Articles_for_creation/Redirects_and_categories,1097,35,2013-06-01T00:00:00.000Z
Man_of_Steel_(film),1081,36,2013-06-01T00:00:00.000Z
User:Tigerboy1966/sandbox9,1072,37,2013-06-01T00:00:00.000Z
2013_Southeast_Asian_haze,1055,38,2013-06-01T00:00:00.000Z
Project:Articles_for_creation/recent,1039,39,2013-06-01T00:00:00.000Z
Project:Reference_desk/Miscellaneous,1035,40,2013-06-01T00:00:00.000Z
Project:Administrators'_noticeboard/Edit_warring,1011,41,2013-06-01T00:00:00.000Z
Project:Biographies_of_living_persons/Noticeboard,956,42,2013-06-01T00:00:00.000Z
Project talk:Did_you_know,945,43,2013-06-01T00:00:00.000Z
User:AnomieBOT/SPERTable,932,44,2013-06-01T00:00:00.000Z
Talk:United_States,928,45,2013-06-01T00:00:00.000Z
Project:Requested_moves/Current_discussions,918,46,2013-06-01T00:00:00.000Z
User:Snotbot/Requests_for_unblock_report,909,47,2013-06-01T00:00:00.000Z
Talk:Tea_Party_movement/Moderated_discussion,902,48,2013-06-01T00:00:00.000Z
Project:Requested_moves/Current_discussions_(alt),890,49,2013-06-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism/TB2,879,50,2013-06-01T00:00:00.000Z
Project:Reference_desk/Computing,877,51,2013-06-01T00:00:00.000Z
,875,52,2013-06-01T00:00:00.000Z
User:Cyde/List_of_current_proposed_deletions,863,53,2013-06-01T00:00:00.000Z
The_Voice_(American_season_4),853,54,2013-06-01T00:00:00.000Z
Project:Did_you_know/DYK_hook_count,850,55,2013-06-01T00:00:00.000Z
Project:Dashboard/Requested_moves,836,56,2013-06-01T00:00:00.000Z
Project:Reliable_sources/Noticeboard,826,57,2013-06-01T00:00:00.000Z
Template talk:Did_you_know,822,58,2013-06-01T00:00:00.000Z
Template:AfC_statistics,821,59,2013-06-01T00:00:00.000Z
Yeezus,817,60,2013-06-01T00:00:00.000Z
User talk:Drmies,802,61,2013-06-01T00:00:00.000Z
2013_Wimbledon_Championships,783,62,2013-06-01T00:00:00.000Z
World_War_Z_(film),783,63,2013-06-01T00:00:00.000Z
Talk:Concerns_for_an_early_Mars_sample_return,775,64,2013-06-01T00:00:00.000Z
Project:WikiProject_Articles_for_creation/Help_desk,763,65,2013-06-01T00:00:00.000Z
Project talk:WikiProject_Articles_for_creation,751,66,2013-06-01T00:00:00.000Z
User:Robert4565/sandbox,743,67,2013-06-01T00:00:00.000Z
2013_Wimbledon_Championships_–_Men's_Singles,742,68,2013-06-01T00:00:00.000Z
Project:Toolserver/status,738,69,2013-06-01T00:00:00.000Z
User talk:Dennis_Brown,732,70,2013-06-01T00:00:00.000Z
Payback_(2013),723,71,2013-06-01T00:00:00.000Z
User talk:Yintan,715,72,2013-06-01T00:00:00.000Z
Template:NUMBEROF/data,702,73,2013-06-01T00:00:00.000Z
User:JamesR/AdminStats,702,74,2013-06-01T00:00:00.000Z
Project:Tutorial_(historical)/Editing/sandbox,699,75,2013-06-01T00:00:00.000Z
Hassan_Rouhani,683,76,2013-06-01T00:00:00.000Z
Project:Community_portal/Opentask,683,77,2013-06-01T00:00:00.000Z
Talk:Deadmau5,683,78,2013-06-01T00:00:00.000Z
Project:Categories_for_discussion/Speedy,682,79,2013-06-01T00:00:00.000Z
List_of_Columbo_episodes,678,80,2013-06-01T00:00:00.000Z
User:GA_bot/Stats,675,81,2013-06-01T00:00:00.000Z
Talk:Sega_Genesis,670,82,2013-06-01T00:00:00.000Z
Project:Dispute_resolution_noticeboard,655,83,2013-06-01T00:00:00.000Z
The_Last_of_Us,646,84,2013-06-01T00:00:00.000Z
Project talk:Manual_of_Style,645,85,2013-06-01T00:00:00.000Z
User:JaGa/Short_leaderboard,644,86,2013-06-01T00:00:00.000Z
Project:WikiProject_Military_history/June_2013_backlog_reduction_drive/Worklists,641,87,2013-06-01T00:00:00.000Z
User:ClueBot_II/dino,633,88,2013-06-01T00:00:00.000Z
Project:Village_pump_(policy),628,89,2013-06-01T00:00:00.000Z
User:Cyde/List_of_requests_for_unblock,626,90,2013-06-01T00:00:00.000Z
User:Richlevine00/sandbox,624,91,2013-06-01T00:00:00.000Z
Australian_HPV_Super_Series,610,92,2013-06-01T00:00:00.000Z
2013_NCAA_Division_I_Baseball_Tournament,608,93,2013-06-01T00:00:00.000Z
User talk:Faizan,605,94,2013-06-01T00:00:00.000Z
Just_Dance_2014,596,95,2013-06-01T00:00:00.000Z
Talk:PRISM_(surveillance_program),593,96,2013-06-01T00:00:00.000Z
Pro_Evolution_Soccer_2014,592,97,2013-06-01T00:00:00.000Z
Continuity_announcers_in_the_United_Kingdom,587,98,2013-06-01T00:00:00.000Z
2013_Iranian_presidential_election,580,99,2013-06-01T00:00:00.000Z
2013_FIFA_Confederations_Cup,577,100,2013-06-01T00:00:00.000Z
User:Cyde/List_of_candidates_for_speedy_deletion/Subpage,7599,1,2013-07-01T00:00:00.000Z
Project:Administrators'_noticeboard/Incidents,5196,2,2013-07-01T00:00:00.000Z
Project:VisualEditor/Feedback,5091,3,2013-07-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism,3843,4,2013-07-01T00:00:00.000Z
Project:Sandbox,2896,5,2013-07-01T00:00:00.000Z
Project:Help_desk,2684,6,2013-07-01T00:00:00.000Z
Project:WikiProject_Spam/LinkReports,2668,7,2013-07-01T00:00:00.000Z
Project talk:Vital_articles/Level/4,2651,8,2013-07-01T00:00:00.000Z
Project:In_the_news/Candidates,2626,9,2013-07-01T00:00:00.000Z
Project:Usernames_for_administrator_attention,2460,10,2013-07-01T00:00:00.000Z
Project:Requests_for_page_protection,2372,11,2013-07-01T00:00:00.000Z
Project:Administrators'_noticeboard,2292,12,2013-07-01T00:00:00.000Z
Asiana_Airlines_Flight_214,2280,13,2013-07-01T00:00:00.000Z
Project:Village_pump_(technical),2162,14,2013-07-01T00:00:00.000Z
Deaths_in_2013,2153,15,2013-07-01T00:00:00.000Z
Project:Reference_desk/Humanities,2134,16,2013-07-01T00:00:00.000Z
Project:Reference_desk/Science,2107,17,2013-07-01T00:00:00.000Z
Project:Teahouse,1812,18,2013-07-01T00:00:00.000Z
User:AmandaNP/UAA/Time,1708,19,2013-07-01T00:00:00.000Z
Project:Sockpuppet_investigations/Cases/Overview,1379,20,2013-07-01T00:00:00.000Z
Talk:Asiana_Airlines_Flight_214,1219,21,2013-07-01T00:00:00.000Z
Project:Changing_username/Simple,1205,22,2013-07-01T00:00:00.000Z
Project:Reference_desk/Miscellaneous,1201,23,2013-07-01T00:00:00.000Z
Project:GLAM/World_Digital_Library/Outcomes,1200,24,2013-07-01T00:00:00.000Z
Project:Open_proxy_detection,1190,25,2013-07-01T00:00:00.000Z
User:Snotbot/Requests_for_unblock_report,1149,26,2013-07-01T00:00:00.000Z
User:Cyde/List_of_current_proposed_deletions,1140,27,2013-07-01T00:00:00.000Z
Project:Non-free_content_review,1136,28,2013-07-01T00:00:00.000Z
2013–14_UEFA_Europa_League_qualifying_phase_and_play-off_round,1133,29,2013-07-01T00:00:00.000Z
Prince_George_of_Cambridge,1123,30,2013-07-01T00:00:00.000Z
Project:Reference_desk/Language,1123,31,2013-07-01T00:00:00.000Z
Project:Articles_for_creation/recent,1089,32,2013-07-01T00:00:00.000Z
Talk:Prince_George_of_Cambridge,1064,33,2013-07-01T00:00:00.000Z
User:Cyberpower678/RfX_Report,1059,34,2013-07-01T00:00:00.000Z
Project:Good_article_nominations,1053,35,2013-07-01T00:00:00.000Z
2013_Egyptian_coup_d'état,1047,36,2013-07-01T00:00:00.000Z
Just_Dance_2014,1022,37,2013-07-01T00:00:00.000Z
Project:WikiProject_Articles_for_creation/Help_desk,1008,38,2013-07-01T00:00:00.000Z
User:AnomieBOT/SPERTable,998,39,2013-07-01T00:00:00.000Z
Talk:Edward_Snowden,997,40,2013-07-01T00:00:00.000Z
User:Richlevine00/sandbox,996,41,2013-07-01T00:00:00.000Z
Hound_Dog_(song),992,42,2013-07-01T00:00:00.000Z
Project:Reference_desk/Computing,972,43,2013-07-01T00:00:00.000Z
User:Tigerboy1966/sandbox9,964,44,2013-07-01T00:00:00.000Z
Project:Requested_moves/Current_discussions,945,45,2013-07-01T00:00:00.000Z
Project talk:Did_you_know,928,46,2013-07-01T00:00:00.000Z
Template:DRN_case_status,927,47,2013-07-01T00:00:00.000Z
Project:Administrators'_noticeboard/Edit_warring,918,48,2013-07-01T00:00:00.000Z
Project:Did_you_know/DYK_hook_count,915,49,2013-07-01T00:00:00.000Z
Talk:March_Against_Monsanto,913,50,2013-07-01T00:00:00.000Z
Talk:2013_Egyptian_coup_d'état,910,51,2013-07-01T00:00:00.000Z
Project:Requested_moves/Current_discussions_(alt),907,52,2013-07-01T00:00:00.000Z
Project:Arbitration/Requests/Case,892,53,2013-07-01T00:00:00.000Z
,891,54,2013-07-01T00:00:00.000Z
List_of_people_from_Illinois,889,55,2013-07-01T00:00:00.000Z
Project talk:VisualEditor,879,56,2013-07-01T00:00:00.000Z
History_of_mathematical_notation,871,57,2013-07-01T00:00:00.000Z
Project:Reliable_sources/Noticeboard,868,58,2013-07-01T00:00:00.000Z
User:Jamesyons/sandbox,866,59,2013-07-01T00:00:00.000Z
