mw-tag-marker-mw-undo,mw-userlink,comment--without-parentheses
,Ohthere1,"Unsubstantiated claim: "", perceived by some in Asia as liberation from Western dominance and resulting in the support of several armies from defeated territories"""
Undo,Bishonen,"Undid revision 955485715 by Fallbacklamb (talk). This article as a whole is written in British English. We don't change date formats in some sections because of the venue for  events in them, but stay consistent. See MOS:DATEUNIFY."
,Fallbacklamb,"→‎War breaks out in the Pacific (1941): ""7 December"" is not the correct way of saying a date for a event or day that takes place in the United States, unlike other parts of the world."
Undo,The ed17,"undo, pretty unnecessary in an already crowded infobox"
,Jgwilliams873,He died in office
,Rjensen,→‎Aftermath:  it took Japan many years
,Fallbacklamb,"→‎Aftermath: ""by the 1980s"" was pretty vague, i mentioned the year Japan became the world's second largest economy."
,E-960,"→‎Italian invasion of Ethiopia (1935):  revert, if possible lets avoid stacking images"
,Electricmaster,→‎Home fronts and production
,Electricmaster,
,Electricmaster,
,Koopinator,It makes more sense to put this note next to the actual dates than the duration of the conflict.
,Pbritti,
,GunnisonMarmot,"minor a few articles, commas, and spaces."
,Pbritti,→‎Allies close in (1944):  Sourced previously unsourced statement
,Fdr2001,The cite does not say it was simply the Soviet invasion and frankly that would make no sense after two cities were destroyed in four days
,Nick.mon,→‎Pre-war events
,Nick.mon,→‎Italian invasion of Ethiopia (1935)
,Ssolbergj,
,Ssolbergj,
,DavideVeloria88,→‎Mediterranean (1940–41): It was a 5-months long campaign
,OAbot,Open access bot: doi added to citation with #oabot.
,Amosjuv,Post war dispute settlements
,Patrick Neylan,→‎Western Europe (1940–41)
,Patrick Neylan,→‎European occupations and agreements
,JHunterJ,"clean up, replaced: 0 million → 0 million (21)"
,Ealdgyth,Reverted edits by SCOTTBOY Q (talk) to last version by Nick-D
,SCOTTBOY Q,
Undo,Nick-D,Undid revision 948538801 by IBMQ (talk) unexplained change
,IBMQ,
,TrailBlzr,
,Wukai,ce
,Nick-D,revert undiscussed changes to infobox - not even edit summaries!
,Nick.mon,
,Mod Terrik,
,Mod Terrik,
,Mod Terrik,
,Mod Terrik,
,Mod Terrik,
,AnomieBOT,Dating maintenance tags: {{Broken footnote}}
,Mellk,"There were multiple genocides, so article should reflect this"
,KIENGIR,already linked
,SUM1,"Changing short description from ""1939–1945, global war between Axis and Allies"" to ""1939–1945 global war between the Axis and the Allies"" (Shortdesc helper)"
,Lorenzopo,→‎European occupations and agreements
,Nick-D,further revert undiscussed changes to infobox - please discuss on talk page and gain consensus
,Nick-D,revert undiscussed changes to infobox
,N35v5,
,N35v5,
,N35v5,
,N35v5,
,N35v5,
,N35v5,
,N35v5,
,N35v5,
,N35v5,
,InternetArchiveBot,Bluelinking 2 books for verifiability.) #IABot (v2.1alpha3
,Gravestep,"Wartime leader of Japan was Hirohito in the same sense as King George, King Victor Emmanuel III, etc."
,Bonthefox3,
,Valenciano,Reverted edits by Jg814867 (talk) to last version by Headbomb
,Jg814867,
,Headbomb,{{broken footnote}}
,Nick-D,Reverted edits by BluePanther (talk) to last version by Keith D
,BluePanther,→‎External links
,BluePanther,→‎External links
,BluePanther,→‎External links
,Keith D,Remove BOT template as covered by {{use British English}}
Undo,Dhtwiki,Reverted good faith edits by Otuo-Akyampong Boakye (talk): See WP:OVERLINK (TW)
,Otuo-Akyampong Boakye,Added a link
,Otuo-Akyampong Boakye,Added a link
,Otuo-Akyampong Boakye,Added a link
,Otuo-Akyampong Boakye,Added a link
,Otuo-Akyampong Boakye,Added a link
,Otuo-Akyampong Boakye,
,Otuo-Akyampong Boakye,Added a link
,Otuo-Akyampong Boakye,Added a lonk
Undo,Plantsurfer,"Reverted 1 edit by Tee wew28 (talk): Rv, looks like WP:OR (TW)"
,Tee wew28,What if the Great War was WWI than WWII should be the second Great War
,JzG,cannot find this ins a reliable source - self-published book at vanity press is insufficient
Undo,Dhtwiki,Reverted 1 edit by Romanmeurgey (talk): Hindsight is 20-20 (TW)
,Romanmeurgey,→‎Axis attack on the Soviet Union (1941)
,Kstern,→‎Aftermath:  common alternative names
,Sol1,→‎References:  linkfix
,Citation bot,Add: date. Removed parameters. Some additions/deletions were actually parameter name changes. | You can use this bot yourself. Report bugs here. | Activated by User:Gameron46 | via #UCB_webform
,Electricmaster,→‎Casualties and war crimes
,E-960,"→‎Axis collapse, Allied victory (1944–45):  thumb upright"
,Staberinde,"I do wonder which wikipedia guideline enables requiring additional supporters for unopposed changes, but at this point it is moot anyway as additional support has indeed appeared on the talk page"
Undo,Nick-D,Undid revision 931835725 by Staberinde (talk) there was no support at all on the talk page
,Staberinde,"→‎Axis collapse, Allied victory (1944–45):  no serious objections were given on talk page"
,Crazymantis91,
,AnomieBOT,Dating maintenance tags: {{By whom?}}
,Jandalhandler,→‎Home fronts and production
,InternetArchiveBot,Bluelinking 2 books for verifiability.) #IABot (v2.1alpha3
,Tanakorn Srichaisuphakit,
Undo,Denniss,Undid revision 930885481 by Tanakorn Srichaisuphakit (talk)
,Tanakorn Srichaisuphakit,Language changes
